APP_ID,APP_NAME,APP_CATEGORY,SUPPORT_SCOPE,AGE_IN_YEARS,NO_RELEASE_UBR,NO_TKTS_VLM,NO_SEV1_SEV2,NO_INC_TKT,NO_SRT_COUNT,NO_TKT_RSLV_W_VENDOR,MANUAL_INTERVENSION,NO_OUTOFOFF_CALLOUTS,NO_INTERFAC_APP,DATA_VOLUME_DAY,TECH_SUPRT_AVLBT,CODE_AVLBT,INCREA_DATA_VLM_YR,REG_COMPLIANCE,REV_IMPACT,IMPATC_TO_CUSTOMER,RECOVERY_DURATION,IMPACT_UP_DN_STREAM,IMPACT_BRAND_IMG,APP_PERF_SLA,SCALABILITY,OBSOLETE_INFRA,DR_ENV_AVLBT,NW_INFRA_ISSUE_PM,SME_AVLBT,VENDOR_EXPT_CTS,VENDOR_EXPT_ENSONO,AVALBT_BIZ_USERS,SEC_VLNBTY_CODE,SEC_VLNBTY_INFRA,COMP_VLNBLTS,CONF_MGT_VLNBTY
55,"Customer Watch, IFES","Data Supply Chain",Life,">10 years",0,4,0,3,0,No,"Low < 2 Hours/Day",0,4,"Low < 50K Txns","Web & Support Unavailable",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Partial
56,"Severe Risk ","Data Supply Chain",General,">10 years",1,204,1,180,1,No,"Medium <4 Hours/Day",0,3,"Medium > 50K Txns to 1 Mn Txns","Web & Support Unavailable",Partial,"Low < 3%",No,"Direct but not immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Partial
57,IRD/GIRD/GFT,"Data Supply Chain",General,">10 years",2,431,0,121,0,No,"Low < 2 Hours/Day",30,9,"Medium > 50K Txns to 1 Mn Txns","Niche & Support Unavailable",Yes,"Low < 3%",No,"Indirect Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",No,"Met SLA",No,Yes,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
58,DBData1,"Data Supply Chain",General,">10 years",4,101,0,77,0,No,"Low < 2 Hours/Day",30,0,"Medium > 50K Txns to 1 Mn Txns","Web & Support Unavailable",Yes,"Low < 3%",No,"Indirect Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
59,EPR,"Data Supply Chain",General,"> 3 years",14,121,0,54,0,No,"Medium <4 Hours/Day",20,9,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
60,PRDB,"Data Supply Chain",General,"> 7 years",19,287,0,134,6,No,"High >4 Hours/Day",40,10,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
61,"SHOPS UI","Data Supply Chain",General,"> 7 years",15,389,0,173,2,No,"High >4 Hours/Day",60,8,"Low < 50K Txns","Legacy & Support Unavailable",Yes,"Medium 3% to 8%",No,"Indirect Revenue Impact","High > 50 Users","4 to 12 Hours","> 5 systems",Yes,"Met SLA",Partial,Yes,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
62,Optimizer,"Data Supply Chain",Life,"> 8 years",2,18,0,9,0,No,"Medium <4 Hours/Day",10,4,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","High > 50 Users","4 to 12 Hours","< 5 systems",Yes,"Met SLA",No,Partial,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
63,NIKE,"Data Supply Chain",General,">10 years",25,946,0,250,0,No,"Medium <4 Hours/Day",0,4,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Unavailable",Partial,"Low < 3%",No,"Direct but not immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",Yes,Yes,No,"> 5","Yes - 1 SME",Yes,Yes,Yes,No,"Yes - Medium/Low Priority issues",No,Partial
64,EOS,"Data Supply Chain",General,">10 years",21,1164,0,741,0,No,"Low < 2 Hours/Day",30,10,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
65,CDU,"Data Supply Chain",General,">10 years",2,302,0,12,0,No,"Low < 2 Hours/Day",20,3,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
66,"Market Insight",Products,General,">10 years",0,2392,0,466,0,"Medium < 5 Tickets/Year","Low < 2 Hours/Day",36,16,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","High > 50 Users","12 Hours to 1 Day",No,Yes,"Met SLA",Partial,Partial,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,No
67,DMUI,Products,General,">5 years",0,441,0,251,0,No,"Medium <4 Hours/Day",0,2,"Low < 50K Txns","Web & Support Available",Partial,"Low < 3%",No,"No Revenue Impact","Low < 10 users","< 4 Hours",No,No,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,No,No,No,No,No,No
68,SBRI,"Data Supply Chain",General,"> 10 years",2,693,0,417,0,No,"Low < 2 Hours/Day",0,5,"High >1M Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct but not immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",Yes,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
69,"DBCC Batch Feeds","Data Supply Chain","General (AP)","< 10 years",3,102,0,6,0,No,"Low < 2 Hours/Day",0,5,"High >1M Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct but not immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
70,"Scoirng RTB","Data Supply Chain",General,"< 10 years",8,655,0,352,0,No,"Medium <4 Hours/Day",10,6,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct but not immediate Revenue Impact","Medium - 10 to 50 users","4 to 12 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
71,"DNB Canada MF","Data Supply Chain",General,">10 years",18,641,1,317,2,No,"Medium <4 Hours/Day",30,3,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
72,"DNB Canada Client Srvr Apps","Data Supply Chain",General,">10 years",18,1035,0,613,1,No,"Medium <4 Hours/Day",20,6,"Medium > 50K Txns to 1 Mn Txns","Web & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
73,"SHOPS - ETL","Data Supply Chain",General,"> 5 years",0,245,0,199,0,No,"Low < 2 Hours/Day",0,2,"Medium > 50K Txns to 1 Mn Txns","Niche & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes > 1 SME",Yes,No,Yes,No,No,No,Yes
74,"ICC ETL","Data Supply Chain",General,"> 5 years",5,90,5,50,0,No,"Low < 2 Hours/Day",0,3,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Unavailable",Partial,"Low < 3%",No,"Indirect Revenue Impact","High > 50 Users","> 1 Day","< 5 systems",Yes,"Met SLA",Yes,Yes,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,No
75,"Back Office - IBIS","Corporate systems",General,"> 5 years",8,2333,0,725,1,No,"High >4 Hours/Day",104,7,"Low < 50K Txns","Web & Support Available",Yes,"Medium 3% to 8%",Yes,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
76,"Back Office - PCSmart-Usage","Corporate systems",General,"> 5 years",0,72,0,61,0,No,"Medium <4 Hours/Day",0,3,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Unavailable",No,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","> 1 Day","< 5 systems",No,"Met SLA",No,Yes,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,"Yes - Medium/Low Priority issues",No,No
77,"Back Office - EUFin-Eurosmart","Corporate systems",General,"> 5 years",2,315,0,114,2,No,"Medium <4 Hours/Day",2,5,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",Yes,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - Medium/Low Priority issues",No,No,Yes
78,"Back Office - XMLCWS","Corporate systems",General,"> 5 years",1,249,0,64,0,No,"High >4 Hours/Day",25,25,"Medium > 50K Txns to 1 Mn Txns","Web & Support Available",Yes,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
79,"Back Office - PERT","Corporate systems",General,"> 5 years",2,221,0,178,0,No,"Low < 2 Hours/Day",2,2,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Direct but not immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",No,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
80,"Back Office - SOP","Corporate systems",General,"> 25 years",0,49,0,16,0,No,"Low < 2 Hours/Day",0,0,"Low < 50K Txns","Niche & Support Unavailable",No,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","> 1 Day","< 5 systems",No,"Met SLA",Yes,Yes,No,"> 2 and < 5","Yes - 1 SME",Yes,No,Yes,No,No,No,No
81,Onboard,Products,Focussed,">4 Years",33,427,0,290,12,"High > 5 Tickets/Year","Low < 2 Hours/Day",80,5,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
82,"ICC Apps",Products,Focussed,">5 years",13,106,0,28,0,No,"Medium <4 Hours/Day",0,0,"Medium > 50K Txns to 1 Mn Txns","Web & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours",No,No,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
83,SAP,Products,Life,">10 years",0,15,0,5,0,No,"Low < 2 Hours/Day",0,2,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct but not immediate Revenue Impact","Low < 10 users","4 to 12 Hours","< 5 systems",No,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,No
84,"SAP Gateway",Middleware,Life,">10 years",0,10,0,2,0,No,"Low < 2 Hours/Day",0,2,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",No,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,No
85,"SFDC Support","Data Supply Chain",Life,">10 years",0,600,0,100,0,NO,"Medium <4 Hours/Day",50,0,"High >1M Txns","Legacy & Support Available",Partial,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
86,"D&B 360",Products,General,"> 5 Years",6,280,1,233,1,No,"Low < 2 Hours/Day",0,3,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
87,BIS,"Corporate systems",General,"> 10 Years",1,198,0,92,0,No,"Low < 2 Hours/Day",0,3,"Low < 50K Txns","Legacy & Support Unavailable",Partial,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",No,"Met SLA",Partial,Yes,No,"> 2 and < 5","Yes > 1 SME",No,No,Yes,No,No,No,Partial
88,GCTRS,"Corporate systems",General,"> 10 Years",1,419,0,3,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Legacy & Support Unavailable",Yes,"Medium 3% to 8%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",Partial,Yes,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
89,"Enterprise Services (14+)",Middleware,General,"5 Years",20,6352,2,6077,4,"High > 5 Tickets/Year","High >4 Hours/Day",100,16,"High >1M Txns","Web & Support Available",Yes,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",Yes,Partial,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - Medium/Low Priority issues",No,No,Yes
90,"Ent Svcs  -Toolkit",Middleware,General,">10 years",12,236,3,236,2,No,"High >4 Hours/Day",25,5,"High >1M Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",Partial,Partial,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - Medium/Low Priority issues",No,No,Partial
91,"Ent Svcs - Security",Middleware,General,"5 Years",16,2752,1,1523,1,"High > 5 Tickets/Year","High >4 Hours/Day",25,16,"High >1M Txns","Niche & Support Available",Yes,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
92,"DNBi Support US",Products,Focussed,">10 years",8,6403,2,4300,30,"Medium < 5 Tickets/Year","High >4 Hours/Day",100,0,"High >1M Txns","Web & Support Available",Yes,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - Medium/Low Priority issues",No,No,Yes
93,"DNBi EU",Products,General,">5 Years",8,2333,0,1400,5,"Medium < 5 Tickets/Year","Medium <4 Hours/Day",40,0,"Medium > 50K Txns to 1 Mn Txns","Web & Support Available",Yes,"High  > 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - Medium/Low Priority issues",No,No,Yes
94,"Mydnb (Max CV)",Products,General,">5 Years",6,346,0,208,0,No,"Low < 2 Hours/Day",20,0,"Low < 50K Txns","Web & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
95,"DnbiPro (Max CV)",Products,General,">5 Years",1,71,0,44,0,No,"Low < 2 Hours/Day",0,0,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","Medium - 10 to 50 users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
96,"Intelligence Engine, Top Elements & Severe Risk","Data Supply Chain",General,"> 8 years",4,886,0,10,0,No,"High >4 Hours/Day",0,5,"High >1M Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","Low < 10 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
97,Reporting,"Data Supply Chain",General,"< 5 Years",0,83,0,4,0,No,"Low < 2 Hours/Day",0,3,"Low < 50K Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Indirect Revenue Impact","Low < 10 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
98,DNBExpress,"Data Supply Chain","General (AP)",">10 years",4,181,0,28,0,No,"Medium <4 Hours/Day",0,5,"Low < 50K Txns","Web & Support Unavailable",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","High > 50 Users","4 to 12 Hours","< 5 systems",Yes,"Met SLA",Yes,Yes,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,"Yes - High Priority issues","Yes - High Priority issues",No,Yes
99,DPM,"Data Supply Chain",General,">10 years",4,189,0,31,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
100,TIS,"Data Supply Chain",General,">10 years",7,203,0,27,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
101,eRecheck,"Data Supply Chain",General,">10 years",5,141,0,16,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
102,ICase,"Data Supply Chain",General,">10 years",1,99,0,149,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,No,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
103,SecureRecheck,"Data Supply Chain",General,"< 1 Year",2,146,0,89,0,No,"Low < 2 Hours/Day",0,1,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Medium - 10 to 50 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
104,iUpdate,"Data Supply Chain",General,">10 years",4,2082,1,474,0,No,"Medium <4 Hours/Day",0,4,"High >1M Txns","Web & Support Available",Yes,"Medium 3% to 8%",No,"Direct but not immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,No
105,"Globla Hygiene Match","Data Supply Chain",General,">4 years",4,468,0,41,0,No,"Medium <4 Hours/Day",0,4,"High >1M Txns","Legacy & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","Low < 10 users","< 4 Hours",No,Yes,"Met SLA",No,No,Yes,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
106,"DUNS Registration","Data Supply Chain",General,"< 5 Years",1,39,0,10,0,No,"Low < 2 Hours/Day",0,3,"Low < 50K Txns","Web & Support Available",Yes,"Low < 3%",No,"Indirect Revenue Impact","Low < 10 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,Yes,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
107,"Compliance Check",Products,General,">3 Years",7,6981,0,1461,3,No,"High >4 Hours/Day",0,3,"Low < 50K Txns","Web & Support Available",Yes,"High  > 8%",Yes,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
108,PRISM,"Data Supply Chain",General,">2 years",0,333,0,8,0,No,"Low < 2 Hours/Day",0,3,"Medium > 50K Txns to 1 Mn Txns","Legacy & Support Available",Yes,"Medium 3% to 8%",No,"Direct & Immediate Revenue Impact","Low < 10 users","< 4 Hours","< 5 systems",Yes,"Met SLA",No,No,No,"< 2","Yes - 1 SME",Yes,Yes,Yes,No,No,No,Yes
109,"Digital Marketing","Data Supply Chain",General,">3 years",18,174,0,150,0,"High > 5 Tickets/Year","Medium <4 Hours/Day",80,8,"High >1M Txns","Niche & Support Available",Yes,"Low < 3%",No,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","< 5 systems",Yes,"Met SLA",Yes,No,Yes,"> 2 and < 5","Yes > 1 SME",Yes,Yes,Yes,No,No,No,Yes
110,"eCommerce Applications",Products,"General (AP)","> 8 Years",10,2196,0,0,0,No,"High >4 Hours/Day",7,14,"Low < 50K Txns","Niche & Support Available",Yes,"Medium 3% to 8%",Yes,"Direct & Immediate Revenue Impact","High > 50 Users","< 4 Hours","> 5 systems",Yes,"Met SLA",No,No,Yes,"< 2","Yes > 1 SME",Yes,Yes,Yes,"Yes - High Priority issues","Yes - High Priority issues",No,Yes
111,"Suplier Portal",Products,"General (AP)","6 Years",5,720,0,120,0,No,"Medium <4 Hours/Day",0,10,"Low < 50K Txns","Web & Support Available",Yes,"Medium 3% to 8%",Yes,"Direct & Immediate Revenue Impact","Low < 10 users","< 4 Hours","> 5 systems",Yes,"Above defined SLA ",No,No,Yes,"< 2","Yes > 1 SME",Yes,No,Yes,"Yes - Medium/Low Priority issues","Yes - Medium/Low Priority issues","Yes - Medium/Low Priority issues",Yes
